dtm,o3_1
2023-07-11T12:30:00.000000,35.98
2023-07-11T12:35:00.000000,35.3
2023-07-11T12:40:00.000000,35.92
2023-07-11T12:45:00.000000,45.46
2023-07-11T12:50:00.000000,33.32
2023-07-11T12:55:00.000000,37.03
2023-07-11T13:00:00.000000,38.25
2023-07-11T13:05:00.000000,37.3
2023-07-11T13:10:00.000000,41.15
2023-07-11T13:15:00.000000,35.86
2023-07-11T13:20:00.000000,41.44
2023-07-11T13:25:00.000000,38.94
2023-07-11T13:30:00.000000,32.4
2023-07-11T13:35:00.000000,36.76
2023-07-11T13:40:00.000000,34.25
2023-07-11T13:45:00.000000,36.97
2023-07-11T13:50:00.000000,36.73
2023-07-11T13:55:00.000000,40.5
2023-07-11T14:00:00.000000,33.79
2023-07-11T14:05:00.000000,33.01
2023-07-11T14:10:00.000000,25.5
2023-07-11T14:15:00.000000,24.39
2023-07-11T14:20:00.000000,25.12
2023-07-11T14:25:00.000000,17.07
2023-07-11T14:30:00.000000,21.71
2023-07-11T14:35:00.000000,20.73
2023-07-11T14:40:00.000000,16.08
2023-07-11T14:45:00.000000,15.19
2023-07-11T14:50:00.000000,9.51
2023-07-11T14:55:00.000000,18.41
2023-07-11T15:00:00.000000,7.19
2023-07-11T15:05:00.000000,12.18
2023-07-11T15:10:00.000000,13.29
2023-07-11T15:15:00.000000,15.42
2023-07-11T15:20:00.000000,11.16
2023-07-11T15:25:00.000000,15.9
2023-07-11T15:30:00.000000,11.51
2023-07-11T15:35:00.000000,13.98
2023-07-11T15:40:00.000000,12.84
2023-07-11T15:45:00.000000,5.26
2023-07-11T15:50:00.000000,7.66
2023-07-11T15:55:00.000000,11.24
2023-07-11T16:00:00.000000,10.51
2023-07-11T16:05:00.000000,17.25
2023-07-11T16:10:00.000000,10.53
2023-07-11T16:15:00.000000,14.12
2023-07-11T16:20:00.000000,15.61
2023-07-11T16:25:00.000000,15.49
2023-07-11T16:30:00.000000,15.33
2023-07-11T16:35:00.000000,21.53
2023-07-11T16:40:00.000000,24.2
2023-07-11T16:45:00.000000,24.56
2023-07-11T16:50:00.000000,20.09
2023-07-11T16:55:00.000000,22.83
2023-07-11T17:00:00.000000,21.7
2023-07-11T17:05:00.000000,21.88
2023-07-11T17:10:00.000000,20.95
2023-07-11T17:15:00.000000,21.73
2023-07-11T17:20:00.000000,12.48
2023-07-11T17:25:00.000000,11.22
2023-07-11T17:30:00.000000,17.64
2023-07-11T17:35:00.000000,22.01
2023-07-11T17:40:00.000000,16.49
2023-07-11T17:45:00.000000,24.37
2023-07-11T17:50:00.000000,14.88
2023-07-11T17:55:00.000000,15.53
2023-07-11T18:00:00.000000,4.84
2023-07-11T18:05:00.000000,3.3
2023-07-11T18:10:00.000000,5.31
2023-07-11T18:15:00.000000,4.72
2023-07-11T18:20:00.000000,4.53
2023-07-11T18:25:00.000000,1.7
2023-07-11T18:30:00.000000,5.57
2023-07-11T18:35:00.000000,9.38
2023-07-11T18:40:00.000000,5.12
2023-07-11T18:45:00.000000,18.36
2023-07-11T18:50:00.000000,2.95
2023-07-11T18:55:00.000000,1.39
2023-07-11T19:00:00.000000,8.16
2023-07-11T19:05:00.000000,5.71
2023-07-11T19:10:00.000000,7.71
2023-07-11T19:15:00.000000,9.54
2023-07-11T19:20:00.000000,8.98
2023-07-11T19:25:00.000000,12.43
2023-07-11T19:30:00.000000,9.6
2023-07-11T19:35:00.000000,8.99
2023-07-11T19:40:00.000000,9.59
2023-07-11T19:45:00.000000,8.37
2023-07-11T19:50:00.000000,16.91
2023-07-11T19:55:00.000000,20.45
2023-07-11T20:00:00.000000,15.05
2023-07-11T20:05:00.000000,10.97
2023-07-11T20:10:00.000000,8.76
2023-07-11T20:15:00.000000,5.74
2023-07-11T20:20:00.000000,12.89
2023-07-11T20:25:00.000000,8.89
2023-07-11T20:30:00.000000,12.21
2023-07-11T20:35:00.000000,14.2
2023-07-11T20:40:00.000000,15.01
2023-07-11T20:45:00.000000,11.91
2023-07-11T20:50:00.000000,7.46
2023-07-11T20:55:00.000000,9.76
2023-07-11T21:00:00.000000,7.41
2023-07-11T21:05:00.000000,8.71
2023-07-11T21:10:00.000000,10.79
2023-07-11T21:15:00.000000,10.18
2023-07-11T21:20:00.000000,15.83
2023-07-11T21:25:00.000000,13.91
2023-07-11T21:30:00.000000,17.66
2023-07-11T21:35:00.000000,17.81
2023-07-11T21:40:00.000000,16.55
2023-07-11T21:45:00.000000,9.49
2023-07-11T21:50:00.000000,12.79
2023-07-11T21:55:00.000000,13.97
2023-07-11T22:00:00.000000,14.07
2023-07-11T22:05:00.000000,19.69
2023-07-11T22:10:00.000000,15.56
2023-07-11T22:15:00.000000,19.61
2023-07-11T22:20:00.000000,12.71
2023-07-11T22:25:00.000000,11.84
2023-07-11T22:30:00.000000,16.4
2023-07-11T22:35:00.000000,11.45
2023-07-11T22:40:00.000000,15.63
2023-07-11T22:45:00.000000,19.49
2023-07-11T22:50:00.000000,24.12
2023-07-11T22:55:00.000000,20.8
2023-07-11T23:00:00.000000,21.57
2023-07-11T23:05:00.000000,21.26
2023-07-11T23:10:00.000000,32.8
2023-07-11T23:15:00.000000,22.25
2023-07-11T23:20:00.000000,21.69
2023-07-11T23:25:00.000000,23.27
2023-07-11T23:30:00.000000,23.92
2023-07-11T23:35:00.000000,21.11
2023-07-11T23:40:00.000000,23.61
2023-07-11T23:45:00.000000,29.97
2023-07-11T23:50:00.000000,22.99
2023-07-11T23:55:00.000000,26.34
2023-07-12T00:00:00.000000,21.72
2023-07-12T00:05:00.000000,20.8
2023-07-12T00:10:00.000000,19.89
2023-07-12T00:15:00.000000,21.36
2023-07-12T00:20:00.000000,22.2
2023-07-12T00:25:00.000000,24.13
2023-07-12T00:30:00.000000,21.54
2023-07-12T00:35:00.000000,22.11
2023-07-12T00:40:00.000000,22.7
2023-07-12T00:45:00.000000,22.81
2023-07-12T00:50:00.000000,25.23
2023-07-12T00:55:00.000000,21.58
2023-07-12T01:00:00.000000,18.15
2023-07-12T01:05:00.000000,17.75
2023-07-12T01:10:00.000000,17.57
2023-07-12T01:15:00.000000,16.81
2023-07-12T01:20:00.000000,18.7
2023-07-12T01:25:00.000000,18.56
2023-07-12T01:30:00.000000,15.9
2023-07-12T01:35:00.000000,15.17
2023-07-12T01:40:00.000000,20.66
2023-07-12T01:45:00.000000,17.87
2023-07-12T01:50:00.000000,14.92
2023-07-12T01:55:00.000000,15.22
2023-07-12T02:00:00.000000,11.42
2023-07-12T02:05:00.000000,13.46
2023-07-12T02:10:00.000000,10.04
2023-07-12T02:15:00.000000,11.6
2023-07-12T02:20:00.000000,11.69
2023-07-12T02:25:00.000000,11.35
2023-07-12T02:30:00.000000,15.47
2023-07-12T02:35:00.000000,9.81
2023-07-12T02:40:00.000000,7.59
2023-07-12T02:45:00.000000,10.16
2023-07-12T02:50:00.000000,12.45
2023-07-12T02:55:00.000000,7.55
2023-07-12T03:00:00.000000,8.93
2023-07-12T03:05:00.000000,9.64
2023-07-12T03:10:00.000000,6.77
2023-07-12T03:15:00.000000,4.73
2023-07-12T03:20:00.000000,11.56
2023-07-12T03:25:00.000000,5.47
2023-07-12T03:30:00.000000,4.21
2023-07-12T03:35:00.000000,4.38
2023-07-12T03:40:00.000000,4.73
2023-07-12T03:45:00.000000,6.38
2023-07-12T03:50:00.000000,15.41
2023-07-12T03:55:00.000000,5.34
2023-07-12T04:00:00.000000,7.55
2023-07-12T04:05:00.000000,7.64
2023-07-12T04:10:00.000000,3.81
2023-07-12T04:15:00.000000,5.59
2023-07-12T04:20:00.000000,11.02
2023-07-12T04:25:00.000000,8.8
2023-07-12T04:30:00.000000,9.16
2023-07-12T04:35:00.000000,7.98
2023-07-12T04:40:00.000000,3.54
2023-07-12T04:45:00.000000,7.58
2023-07-12T04:50:00.000000,7.28
2023-07-12T04:55:00.000000,8.73
2023-07-12T05:00:00.000000,8.76
2023-07-12T05:05:00.000000,11.19
2023-07-12T05:10:00.000000,12.65
2023-07-12T05:15:00.000000,12.21
2023-07-12T05:20:00.000000,12.27
2023-07-12T05:25:00.000000,15.01
2023-07-12T05:30:00.000000,13.78
2023-07-12T05:35:00.000000,19.72
2023-07-12T05:40:00.000000,12.74
2023-07-12T05:45:00.000000,14.3
2023-07-12T05:50:00.000000,16.43
2023-07-12T05:55:00.000000,17.47
2023-07-12T06:00:00.000000,14.52
2023-07-12T06:05:00.000000,13.73
2023-07-12T06:10:00.000000,20.93
2023-07-12T06:15:00.000000,17.42
2023-07-12T06:20:00.000000,18.21
2023-07-12T06:25:00.000000,21.84
2023-07-12T06:30:00.000000,22.79
2023-07-12T06:35:00.000000,23.36
2023-07-12T06:40:00.000000,23.98
2023-07-12T06:45:00.000000,26.17
2023-07-12T06:50:00.000000,20.21
2023-07-12T06:55:00.000000,22.53
2023-07-12T07:00:00.000000,24.64
2023-07-12T07:05:00.000000,27.12
2023-07-12T07:10:00.000000,27.9
2023-07-12T07:15:00.000000,27.35
2023-07-12T07:20:00.000000,36.22
2023-07-12T07:25:00.000000,29.12
2023-07-12T07:30:00.000000,35.27
2023-07-12T07:35:00.000000,28.23
2023-07-12T07:40:00.000000,30.58
2023-07-12T07:45:00.000000,29.96
2023-07-12T07:50:00.000000,32.66
2023-07-12T07:55:00.000000,33.11
2023-07-12T08:00:00.000000,29.01
2023-07-12T08:05:00.000000,28.56
2023-07-12T08:10:00.000000,29.94
2023-07-12T08:15:00.000000,36.49
2023-07-12T08:20:00.000000,30.55
2023-07-12T08:25:00.000000,32.94
2023-07-12T08:30:00.000000,34.33
2023-07-12T08:35:00.000000,36.18
2023-07-12T08:40:00.000000,38.63
2023-07-12T08:45:00.000000,35.62
2023-07-12T08:50:00.000000,33.58
2023-07-12T08:55:00.000000,34.89
2023-07-12T09:00:00.000000,36.06
2023-07-12T09:05:00.000000,36.9
2023-07-12T09:10:00.000000,34.66
2023-07-12T09:15:00.000000,42.28
2023-07-12T09:20:00.000000,34.1
2023-07-12T09:25:00.000000,40.37
2023-07-12T09:30:00.000000,38.2
2023-07-12T09:35:00.000000,38.78
2023-07-12T09:40:00.000000,39.39
2023-07-12T09:45:00.000000,37.78
2023-07-12T09:50:00.000000,42.34
2023-07-12T09:55:00.000000,37.32
2023-07-12T10:00:00.000000,38.89
2023-07-12T10:05:00.000000,39.42
2023-07-12T10:10:00.000000,38.55
2023-07-12T10:15:00.000000,41.58
2023-07-12T10:20:00.000000,38.75
2023-07-12T10:25:00.000000,39.47
2023-07-12T10:30:00.000000,38.85
2023-07-12T10:35:00.000000,38.07
2023-07-12T10:40:00.000000,37.76
2023-07-12T10:45:00.000000,38.9
2023-07-12T10:50:00.000000,36.98
2023-07-12T10:55:00.000000,35.16
2023-07-12T11:00:00.000000,34.73
2023-07-12T11:05:00.000000,34.9
2023-07-12T11:10:00.000000,37.05
2023-07-12T11:15:00.000000,37.39
2023-07-12T11:20:00.000000,39.85
2023-07-12T11:25:00.000000,42.03
2023-07-12T11:30:00.000000,38.73
2023-07-12T11:35:00.000000,36.3
2023-07-12T11:40:00.000000,36.01
2023-07-12T11:45:00.000000,37.34
2023-07-12T11:50:00.000000,38.8
2023-07-12T11:55:00.000000,35.06
2023-07-12T12:00:00.000000,35.61
2023-07-12T12:05:00.000000,38.25
2023-07-12T12:10:00.000000,36.66
2023-07-12T12:15:00.000000,36.35
2023-07-12T12:20:00.000000,34.7
2023-07-12T12:25:00.000000,38.04
2023-07-12T12:30:00.000000,35.7
2023-07-12T12:35:00.000000,34.34
2023-07-12T12:40:00.000000,37.57
2023-07-12T12:45:00.000000,37.07
2023-07-12T12:50:00.000000,34.91
2023-07-12T12:55:00.000000,34.12
2023-07-12T13:00:00.000000,34.67
2023-07-12T13:05:00.000000,37.73
2023-07-12T13:10:00.000000,35.88
2023-07-12T13:15:00.000000,36.31
2023-07-12T13:20:00.000000,31.87
2023-07-12T13:25:00.000000,31.68
2023-07-12T13:30:00.000000,30.73
2023-07-12T13:35:00.000000,31.4
2023-07-12T13:40:00.000000,28.31
2023-07-12T13:45:00.000000,29.18
2023-07-12T13:50:00.000000,30.46
2023-07-12T13:55:00.000000,32.76
2023-07-12T14:00:00.000000,31.87
